code,tickers,name
588730,588730.SS,科创AI
588750,588750.SS,科创芯50
588760,588760.SS,AI科创
588770,588770.SS,信息科创
588780,588780.SS,芯片设计
588790,588790.SS,科创智能
588800,588800.SS,科创100C
588810,588810.SS,科创板芯
588820,588820.SS,科创200E
588830,588830.SS,科创新能
588840,588840.SS,50科创
588860,588860.SS,科创医药
588870,588870.SS,科创50指
588880,588880.SS,科创指数
588890,588890.SS,科创芯
588900,588900.SS,科创100N
588930,588930.SS,科创板AI
588950,588950.SS,景顺科创
588960,588960.SS,新能科创
588990,588990.SS,科芯片
589000,589000.SS,科创综指
589060,589060.SS,科综东财
589080,589080.SS,科创综E
589500,589500.SS,科综工银
589520,589520.SS,AI科创板
589600,589600.SS,富国科综
589630,589630.SS,科综国泰
589660,589660.SS,综指科创
589680,589680.SS,科创综Z
589770,589770.SS,科创全指
589800,589800.SS,科创综合
589860,589860.SS,天弘科综
589880,589880.SS,科创综
589890,589890.SS,景顺科综
589900,589900.SS,博时科综
589990,589990.SS,科创板综
