code,tickers,name,industry
1786,1786.HK,CRCC HIGH TECH EQUIPMENT CORP LTD,Producer Manufacturing
1137,1137.HK,HONG KONG TECHNOLOGY VENTURE CO LTD,Retail Trade
1354,1354.HK,XI'AN KINGFAR PROPERTY SERVICES CO,Finance
6959,6959.HK,CHANGJIU HOLDINGS LTD,Retail Trade
1660,1660.HK,ZHAOBANGJI LIFESTYLE HOLDINGS LTD,Finance
9960,9960.HK,KINDSTAR GLOBALGENE TECHNOLOGY INC,Health Services
1719,1719.HK,CHINA INFRASTRUCTURE & LOGISTICS GP,Transportation
2496,2496.HK,WUHAN YZY BIOPHARMA CO. LTD.,Health Technology
3882,3882.HK,SKY LIGHT HLDGS LTD,Electronic Technology
1463,1463.HK,C-LINK SQUARED LTD,Commercial Services
1727,1727.HK,HEBEI CONSTRUCTION GP CORP LTD,Producer Manufacturing
0131,0131.HK,CHEUK NANG HLDGS,Finance
1878,1878.HK,SOUTHGOBI RESOURCES LTD,Energy Minerals
1622,1622.HK,REDCO PROPERTIES GROUP LIMITED,Finance
1942,1942.HK,MOG DIGITECH HOLDINGS LTD,Commercial Services
3836,3836.HK,CHINA HARMONY AUTO HOLDING LTD,Retail Trade
0769,0769.HK,CHINA RARE EARTH HLDGS,Non-Energy Minerals
8299,8299.HK,GT GOLD HOLDINGS LTD,Non-Energy Minerals
0419,0419.HK,HONY MEDIA GROUP,Consumer Services
2136,2136.HK,LIFESTYLE CHINA GROUP LTD,Retail Trade
1176,1176.HK,ZHUGUANG HOLDINGS GROUP CO LTD,Finance
9936,9936.HK,XIMEI RESOURCES HOLDING LTD,Non-Energy Minerals
1601,1601.HK,ZHONGGUANCUN SCIENCE TECH LEASING,Finance
6058,6058.HK,CHINA INDUSTRIAL SECS INT FINL GP,Finance
0527,0527.HK,CHINA RUIFENG RENEWABLE ENERGY HLDG,Utilities
1082,1082.HK,BRADAVERSE EDUC (INT'L) INVS GP LTD,Commercial Services
3838,3838.HK,CHINA STARCH HOLDINGS LIMITED,Consumer Non-Durables
0750,0750.HK,CHINA SHUIFA SINGYES ENGY HLDGS LTD,Industrial Services
1870,1870.HK,ACME INTERNATIONAL HOLDINGS LTD,Producer Manufacturing
2170,2170.HK,SUZHOU BASECARE MEDICAL CORP LTD,Health Technology
6117,6117.HK,RIZHAO PORT JURONG CO LTD,Transportation
1837,1837.HK,NATURAL FOOD INTERNATIONAL HLDG LTD,Consumer Non-Durables
0488,0488.HK,LAI SUN DEVELOPMENT CO,Finance
2516,2516.HK,FAR INTERNATIONAL HOLDINGS GROUP CO,Transportation
3301,3301.HK,RONSHINE CHINA HOLDINGS LIMITED,Finance
2217,2217.HK,TAM JAI INTL CO LTD,Consumer Services
2250,2250.HK,B DUCK SEMK HOLDINGS INTL LTD,Commercial Services
2505,2505.HK,EDA GROUP HOLDINGS LIMITED,Transportation
0418,0418.HK,FOUNDER HLDGS LTD,Technology Services
1586,1586.HK,CHINA LEON INSPECTION HOLDING LTD,Commercial Services
0622,0622.HK,OSHIDORI INTERNATIONAL HLDGS LTD,Finance
2130,2130.HK,CN LOGISTICS INTERNATIONAL HLDS LTD,Transportation
9908,9908.HK,JIAXING GAS GRP CO LTD,Utilities
1140,1140.HK,WEALTHINK AI-INNOVATION CAPITAL LTD,Finance
8223,8223.HK,ZIYUANYUAN HLDGS GROUP LTD,Finance
1009,1009.HK,INTERNATIONAL ENTERTAINMENT CORP.,Finance
0554,0554.HK,HANS ENERGY COMPANY LTD,Distribution Services
1127,1127.HK,LION ROCK GROUP LTD,Commercial Services
0266,0266.HK,TIAN TECK LAND,Finance
0661,0661.HK,CHINA DAYE NON-FERROUS METALS,Producer Manufacturing
2295,2295.HK,MAXICITY HOLDINGS LTD,Miscellaneous
6188,6188.HK,BEIJING DIGITAL TELECOM CO LTD,Retail Trade
0609,0609.HK,TIANDE CHEMICAL HOLDINGS LIMITED,Process Industries
2327,2327.HK,MEILLEURE HEALTH INTL INDY GP LTD,Distribution Services
3300,3300.HK,CHINA GLASS HOLDINGS LIMITED,Process Industries
2003,2003.HK,VCREDIT HLDGS LTD,Finance
0157,0157.HK,NATURAL BEAUTY BIO-TECHNOLOGY,Consumer Non-Durables
2540,2540.HK,LESI GROUP LTD,Commercial Services
1233,1233.HK,TIMES CHINA HOLDINGS LTD,Consumer Durables
1692,1692.HK,TOWN RAY HOLDINGS LTD,Consumer Durables
1090,1090.HK,DA MING INTL HLDGS LTD,Non-Energy Minerals
2161,2161.HK,JBM (HEALTHCARE) LTD,Health Technology
0846,0846.HK,MINGFA GROUP (INTERNATIONAL) CO LTD,Consumer Durables
2486,2486.HK,PLUS GROUP HOLDINGS INC,Commercial Services
1471,1471.HK,ZHONGMIAO HOLDINGS (QINGDAO) CO LTD,Finance
2289,2289.HK,CHARMACY PHARMACEUTICAL CO LTD,Health Technology
0538,0538.HK,AJISEN(CHINA)HLDGS LTD,Consumer Services
6998,6998.HK,GENOR BIOPHARMA HLDGS LTD,Health Technology
0374,0374.HK,FOUR SEAS MERCANTILE HLDGS,Consumer Non-Durables
0018,0018.HK,ORIENTAL ENTERPRISE HOLDINGS LTD,Consumer Services
0160,0160.HK,HON KWOK LAND INVESTMENT CO,Finance
1180,1180.HK,PARADISE ENTERTAINMENT LIMITED,Consumer Services
1098,1098.HK,ROAD KING INFRASTRUCTURE,Finance
0695,0695.HK,DONGWU CEMENT INTERNATIONAL LTD,Non-Energy Minerals
8328,8328.HK,XINYI ELECTRIC STORAGE HLDGS LTD,Producer Manufacturing
1680,1680.HK,MACAU LEGEND DEVELOPMENT LIMITED,Consumer Services
6978,6978.HK,IMMUNOTECH BIOPHARM LTD,Health Technology
1290,1290.HK,CHINA HUIRONG FINL HLDGS LTD,Finance
0603,0603.HK,CHINA OIL AND GAS GROUP LIMITED,Utilities
0521,0521.HK,CWT INTERNATIONAL LTD,Electronic Technology
8395,8395.HK,ZXZN QI-HOUSE HOLDINGS LTD,Retail Trade
3991,3991.HK,CHANGHONG JIAHUA HOLDING LTD,Electronic Technology
2180,2180.HK,MANPOWERGROUP GREATER CHINA LTD,Commercial Services
0337,0337.HK,GREENLAND HONG KONG HOLDINGS LTD,Finance
2416,2416.HK,EDIANYUN LTD,Retail Trade
0698,0698.HK,TONGDA GROUP HOLDINGS LIMITED,Producer Manufacturing
1627,1627.HK,ABLE ENGINEERING HOLDINGS LTD,Consumer Durables
2025,2025.HK,RUIFENG POWER GROUP COMPANY LTD,Producer Manufacturing
0450,0450.HK,HUNG HING PRINTING GROUP,Consumer Services
1731,1731.HK,PROSPEROUS INDUSTRIAL (HLDGS) LTD,Consumer Durables
1626,1626.HK,JIA YAO HOLDINGS LTD,Process Industries
1349,1349.HK,SHANGHAI FUDAN-ZHANGJIAN BIO-PHARM,Health Technology
2138,2138.HK,EC HEALTHCARE,Health Services
2142,2142.HK,HBM HLDGS LTD,Health Technology
0159,0159.HK,BROCKMAN MINING LIMITED,Transportation
6828,6828.HK,BEIJING GAS BLUE SKY HOLDINGS LTD,Utilities
0627,0627.HK,JAPAN KYOSEI GROUP COMPANY LTD,Finance
0408,0408.HK,YIP'S CHEMICAL HOLDINGS,Process Industries
0829,0829.HK,SHENGUAN HOLDINGS (GROUP) LTD,Consumer Non-Durables
2502,2502.HK,HENAN JINYUAN HYDROGENATED CHEMS CO,Utilities
6638,6638.HK,ONECONNECT FINL TECHNOLOGY CO LTD,Technology Services
1662,1662.HK,YEE HOP HOLDINGS LIMITED,Industrial Services
1611,1611.HK,SINOHOPE TECHNOLOGY HOLDINGS LTD,Electronic Technology
0505,0505.HK,XINGYE ALLOY MATERIALS GP LTD,Non-Energy Minerals
2377,2377.HK,CHINA BOQI ENVIR (HKDG) CO LTD,Industrial Services
2030,2030.HK,CABBEEN FASHION LIMITED,Consumer Non-Durables
0057,0057.HK,CHEN HSONG HLDGS,Producer Manufacturing
2120,2120.HK,WENZHOU KANGNING HOSPITAL CO LTD,Health Services
0052,0052.HK,FAIRWOOD HOLDINGS,Consumer Services
3329,3329.HK,BOCOM INTERNATIONAL HOLDINGS CO LTD,Finance
1796,1796.HK,METASPACEX LIMITED,Consumer Durables
1569,1569.HK,MINSHENG EDUCATION GROUP CO LTD,Commercial Services
2422,2422.HK,REGO INTERACTIVE CO LTD,Commercial Services
1568,1568.HK,SUNDART HOLDINGS LIMITED,Industrial Services
2302,2302.HK,CNNC INTERNATIONAL LTD.,Non-Energy Minerals
8107,8107.HK,FICUS TECHNOLOGY HOLDINGS LTD,Transportation
1872,1872.HK,GUAN CHAO HLDGS LTD,Retail Trade
0251,0251.HK,SEA HLDGS,Finance
1468,1468.HK,KINGKEY FINANCIAL INTL (HLDG) LTD,Finance
1499,1499.HK,OKG TECHNOLOGY HLDGS LTD,Industrial Services
0560,0560.HK,CHU KONG SHIPPING ENT (GP) CO LTD,Transportation
2166,2166.HK,SMART-CORE HOLDING LTD,Electronic Technology
0918,0918.HK,MAJESTIC DRAGON AEROTECH HLDGS LTD,Consumer Non-Durables
3678,3678.HK,HOLLY FUTURES CO LTD,Finance
0212,0212.HK,NANYANG HLDGS,Finance
0533,0533.HK,GOLDLION HLDGS,Consumer Non-Durables
2483,2483.HK,K CASH CORPORATION LTD,Finance
0848,0848.HK,MAOYE INTERNATIONAL HOLDINGS LTD.,Retail Trade
0103,0103.HK,SHOUGANG CENTURY HOLDINGS LTD,Producer Manufacturing
2425,2425.HK,AUSTASIA GROUP LTD,Process Industries
3336,3336.HK,JU TENG INTERNATIONAL HOLDING LTD,Electronic Technology
2418,2418.HK,DEEWIN TIANXIA CO LTD,Consumer Durables
0869,0869.HK,PLAYMATES TOYS LIMITED,Consumer Durables
3315,3315.HK,GOLDPAC GROUP LIMITED,Electronic Technology
8227,8227.HK,XIAN HAITIAN ANTENNA TECHS CO LTD,Electronic Technology
0383,0383.HK,TIAN AN MEDICARE LTD,Health Services
1425,1425.HK,JUSTIN ALLEN HLDGS LTD,Consumer Non-Durables
1986,1986.HK,TSAKER NEW ENERGY TECH CO LTD,Process Industries
0279,0279.HK,ARTA TECHFIN CORPORATION LTD,Finance
1502,1502.HK,FINANCIAL STREET PROPERTY CO LTD,Finance
3913,3913.HK,KWG LIVING GROUP HLDGS LTD,Finance
0497,0497.HK,CSI PROPERTIES LTD,Finance
1780,1780.HK,RONGZUN INTERNATIONAL HLDGS GP LTD,Industrial Services
1370,1370.HK,AOWEI HOLDING LTD,Non-Energy Minerals
0711,0711.HK,ASIA ALLIED INFRASTRUCTURE HLDGS LT,Industrial Services
1868,1868.HK,NEO-NEON HOLDINGS LTD,Producer Manufacturing
2185,2185.HK,SHANGHAI BIO-HEART BIOLOGICAL TECHN,Commercial Services
1483,1483.HK,NET-A-GO TECHNOLOGY COMPANY LTD,Commercial Services
0202,0202.HK,EVERCHINA INTL HLD,Utilities
1949,1949.HK,PLATT NERA INTERNATIONAL LTD,Technology Services
0360,0360.HK,NEW FOCUS AUTO TECH HLDGS LTD,Producer Manufacturing
0420,0420.HK,FOUNTAIN SET HLDGS,Process Industries
0672,0672.HK,ZHONG AN GROUP LTD,Finance
0617,0617.HK,PALIBURG HOLDINGS,Consumer Services
8049,8049.HK,JILIN PROVINCE HUINAN CHANGLONG BIO,Health Technology
2898,2898.HK,SUNHO BIOLOGICS INC,Health Technology
2137,2137.HK,BRII BIOSCIENCES L,Commercial Services
1168,1168.HK,SINOLINK WORLDWIDE HLDGS,Finance
1328,1328.HK,GOLDSTREAM INVESTMENT LTD,Commercial Services
6609,6609.HK,SHANGHAI HEARTCARE MEDICAL TECHNOLO,Health Technology
3903,3903.HK,HANHUA FINANCIAL HOLDING CO LTD,Finance
0228,0228.HK,CHINA ENERGY DEVELOPMENT HOLDS LTD,Energy Minerals
2265,2265.HK,HONGCHENG ENVIRONMENTAL TECHNOLOGY,Industrial Services
1966,1966.HK,CHINA SCE GP HLDGS LTD,Finance
6677,6677.HK,SINO OCEAN SERVICE HLDG LTD,Finance
1597,1597.HK,CHINA NATURE ENERGY TECHGY HLDS LTD,Producer Manufacturing
0329,0329.HK,OCI INTERNATIONAL HOLDINGS LTD,Finance
1198,1198.HK,ROYALE HOME HOLDINGS LTD,Consumer Durables
1317,1317.HK,CHINA MAPLE LEAF EDUC SYS LTD,Consumer Services
1283,1283.HK,ACCEL GROUP HOLDINGS LTD,Industrial Services
1583,1583.HK,QINQIN FOODSTUFFS GROUP (CAYMAN) CO,Consumer Non-Durables
0237,0237.HK,SAFETY GODOWN CO,Finance
0528,0528.HK,KINGDOM HOLDINGS LTD,Process Industries
2317,2317.HK,VEDAN INTERNATIONAL,Consumer Non-Durables
2101,2101.HK,FULU HLDGS LTD,Technology Services
0239,0239.HK,PAK FAH YEOW INTERNATIONAL,Health Technology
6093,6093.HK,HEVOL SERVICES GROUP CO LTD,Finance
1183,1183.HK,MECOM POWER AND CONSTRUCTION LTD,Industrial Services
9886,9886.HK,DINGDANG HEALTH TECHNOLOGY GRP LTD,Technology Services
0224,0224.HK,PIONEER GLOBAL GROUP,Finance
1373,1373.HK,INTERNATIONAL HOUSEWARES RETAIL CO,Retail Trade
3689,3689.HK,GUANGDONG KANGHUA HEALTHCARE CO LTD,Health Services
