code,tickers,name
2632,2632.T,MAXIS NASDAQ100 (JPY Hedged)
233A,233A.T,iFreeETF India Nifty50
2845,2845.T,NEXT FUNDS NASDAQ-100(R) (Yen-Hedged) Exchange Tra
224A,224A.T,Global X Uranium
1595,1595.T,NZAM ETF J-REIT
1469,1469.T,Simplex JPX Nikkei 400 Bear Dbl Inv
235A,235A.T,Global X Japan High Dividend 30
1497,1497.T,iShares USD High Yield Corporate Bond JPY Hedged
1695,1695.T,WisdomTree Wheat
2019,2019.T,Global X U.S. Preferred Security (Bi-monthly Divid
2631,2631.T,MAXIS NASDAQ100 ETF
1651,1651.T,Daiwa TOPIX High Dividend Yield 40
1541,1541.T,Mitsubishi Japan Physical Platinum
2561,2561.T,iShares Core Japan Government Bond
1496,1496.T,iShares USD Investment Grade Corp Bond JPY Hedged
1325,1325.T,NEXT FUNDS Ibovespa Linked
2856,2856.T,iShares 3-7 Year US Treasury Bond JPY Hedged
1326,1326.T,SPDR골드트러스트
1550,1550.T,MAXIS Global Equity (MSCI Kokusai)
2251,2251.T,NEXT FUNDS JPX JGB Futures Double Inverse Index Ex
2559,2559.T,MAXIS World Equity (MSCI ACWI)
1311,1311.T,Nomura TOPIX Core30 Listed
180A,180A.T,Global X 25+ Year T-Bond
1572,1572.T,China H-share Bull 2x
2564,2564.T,Global X MSCI SuperDividend Japan
2529,2529.T,Nomura NF Nomura Shareholder Yield 70
1578,1578.T,Listed Index Fund Nikkei 225 (Mini)
2087,2087.T,NZAM NASDAQ100 (JPY Hedged)
183A,183A.T,MAXIS US Treasury Bond 20+ Year (JPY Hedged)
236A,236A.T,iShares 7-10 Year Japan Government Bond
1466,1466.T,Daiwa Japan JPX Nikkei 400 Dbl Inv
1367,1367.T,Daiwa ETF Japan TOPIX Leveraged (2x)
1345,1345.T,Listed Index Fund J-REIT
1398,1398.T,SMDS SMDAM REIT Index
2641,2641.T,Global X Japan Global Leaders ESG
2512,2512.T,NEXT FUNDS International Bond FTSE World Governmen
2249,2249.T,iFreeETF S&P500 Double Inverse (-2x)
2041,2041.T,NEXT NOTES DJIA Total Return JPY Monthly Hedged In
2628,2628.T,iFreeChina STAR50
2842,2842.T,iFreeETF NASDAQ100 Inverse
1693,1693.T,WisdomTree Copper
188A,188A.T,Global X India Top 10+
2524,2524.T,Nochu NZAM TOPIX
1658,1658.T,iShares Core MSCI Emerging Markets IMI
2257,2257.T,iShares USD Investment Grade Corporate Bond
2854,2854.T,Global X Japan Tech Top 20
1653,1653.T,Daiwa MSCI Japan ESG Select Leaders
2036,2036.T,NEXT NOTES Nikkei-TOCOM Leveraged Gold
2239,2239.T,Listed Index Fund S&P500 Futures Leveraged Two Tim
2513,2513.T,NEXT FUNDS International Equity MSCI-KOKUSAI Unhed
2256,2256.T,iShares US Aggregate Bond
1397,1397.T,SMDS SMDAM NIKKEI225
2640,2640.T,Global X Japan Games & Animation
1659,1659.T,iShares US REIT
2630,2630.T,MAXIS S&P500 US Equity (JPY Hedged)
1555,1555.T,Nikko Australia REIT
2094,2094.T,TSE REIT Inverse
2520,2520.T,NEXT FUNDS Emerging Market Equity MSCI-EM (Unhedge
2846,2846.T,NEXT FUNDS DJIA (Yen-Hedged) Exchange Traded Fund
2638,2638.T,Global X Japan Robotics & AI
1592,1592.T,Listed Index Fund JPX-Nikkei 400
2083,2083.T,NEXT FUNDS Japan Growth Equity Active Exchange Tra
2238,2238.T,iFreeETF S&P500 Inverse
170A,170A.T,SMT Japan Equity Income Strategy Active
2514,2514.T,NEXT FUNDS International Equity MSCI-KOKUSAI Yen-H
2046,2046.T,NEXT NOTES Nifty Price Return 2x Leverage
2555,2555.T,Simplex TSE REIT
2241,2241.T,MAXIS NY Dow Industrial Average
1557,1557.T,SPDR S&P 500
2259,2259.T,iShares 7-10 Year France Government Bond JPY Hedge
2242,2242.T,MAXIS NY Dow Industrial Average (JPY Hedged)
1364,1364.T,iShares JPX-Nikkei 400
1631,1631.T,NEXT FUNDS TOPIX-17 Banks
1680,1680.T,Listed Index Fund International Developed Countrie
1673,1673.T,WisdomTree Physical Silver
2237,2237.T,iFreeETF S&P500 Leveraged (2x)
2253,2253.T,Global X SuperDividend U.S.
2844,2844.T,Listed Index Fund Australian Government Bond (No C
1554,1554.T,Listed Index Fund World Equity (MSCI ACWI) ex Japa
1692,1692.T,WisdomTree Aluminium
2525,2525.T,Nochu NZAM Nikkei 225
1577,1577.T,NEXT FUNDS Nomura Japan Equity High Dividend 70
2562,2562.T,Listed Index Fund US Equity (Dow Average) Currency
1660,1660.T,MUKAM MAXIS High Yield J-REIT
2042,2042.T,NEXT NOTES Tokyo Stock Exchange Mothers
2240,2240.T,Listed Index Fund S&P500 Futures Inverse
1457,1457.T,Daiwa Japan TOPIX Inverse
2517,2517.T,Mukam Maxis J-REIT Core
1474,1474.T,DIAM JPX Nikkei 400
2557,2557.T,SMDAM TOPIX
1477,1477.T,iShares MSCI Japan Minimum Volatility ex-REITs
2015,2015.T,iFreeETF US Treasury Bond 7-10 Year (Non Hedged)
