code,tickers,name,industry
DHRUV.NS,DHRUV.NS,DHRUV CONSULTANCY SER LTD,Industrial Services
TYCHE.NS,TYCHE.NS,TYCHE INDUSTRIES LTD.,Health Technology
CENTEXT.NS,CENTEXT.NS,CENTURY EXTRUSIONS LTD.,Producer Manufacturing
KIFS.NS,KIFS.NS,KIFS FINANCIAL SERVICES LTD.,Finance
LOVABLE.NS,LOVABLE.NS,LOVABLE LINGERIE LTD.,Consumer Non-Durables
KREBSBIO.NS,KREBSBIO.NS,KREBS BIOCHEMICALS & INDUSTRIE,Health Technology
BRAHMINFRA.NS,BRAHMINFRA.NS,BRAHMAPUTRA INFRASTRUCTURE LTD,Industrial Services
KEYFINSERV.NS,KEYFINSERV.NS,KEYNOTE FIN SERV LTD.,Finance
CHLLTD.NS,CHLLTD.NS,CHL LTD.,Consumer Services
PULZ.NS,PULZ.NS,PULZ ELECTRONICS LTD,Consumer Durables
STANCAP.NS,STANCAP.NS,STANDARD CAPITAL MARKETS LTD.,Finance
DENEERS.NS,DENEERS.NS,DE NEERS TOOLS LTD,Distribution Services
UNIAUTO.NS,UNIAUTO.NS,UNIVERSAL AUTOFOUNDRY LIMITED,Non-Energy Minerals
KEMP.NS,KEMP.NS,KEMP & COMPANY LTD.,Finance
JKAGRI.NS,JKAGRI.NS,JK AGRI GENETICS LTD,Process Industries
SSLEL.NS,SSLEL.NS,SIR SHADI LAL ENTERPRISES LTD.,Process Industries
PRIMAPLA.NS,PRIMAPLA.NS,PRIMA PLASTICS LTD.,Consumer Durables
SAPPL.NS,SAPPL.NS,SHREE AJIT PULP AND PAPER LTD.,Process Industries
GANGESSECU.NS,GANGESSECU.NS,GANGES SECURITIES LTD.,Finance
LANDMARC.NS,LANDMARC.NS,LANDMARC LEISURE CORPORATION L,Consumer Services
FIDEL.NS,FIDEL.NS,FIDEL SOFTECH LTD,Technology Services
HILTON.NS,HILTON.NS,HILTON METAL FORGING LTD.,Producer Manufacturing
