code,tickers,market,name
282690,282690.KS,KOSPI,DONG AH TIRE
015890,015890.KS,KOSPI,TaekyungInd
006890,006890.KS,KOSPI,TAEKYUNGCHEMICAL
251370,251370.KQ,KOSDAQ,YMT
239890,239890.KQ,KOSDAQ,P&H TECH
00279K,00279K.KS,KOSPI,AMOREG(3PC)
420570,420570.KQ,KOSDAQ,J2KBIO
260930,260930.KQ,KOSDAQ,CTK
052260,052260.KQ,KOSDAQ,HYUNDAI BIOLAND
000860,000860.KS,KOSPI,KANGNAM JEVISCO
104480,104480.KQ,KOSDAQ,TK CHEMICAL
055490,055490.KS,KOSPI,TAPEX
003830,003830.KS,KOSPI,DaehanSynthFibr
027050,027050.KQ,KOSDAQ,COREANA
012610,012610.KS,KOSPI,KyunginSynth
014530,014530.KS,KOSPI,KukdongOil&Chem.
004830,004830.KS,KOSPI,Duksung
003650,003650.KS,KOSPI,MichangOil
089470,089470.KS,KOSPI,HDCHEP
079980,079980.KS,KOSPI,HUVIS
003720,003720.KS,KOSPI,SAMYOUNG
023450,023450.KS,KOSPI,DONGNAMCHEMICAL
041930,041930.KQ,KOSDAQ,DONGAHWASUNG
120240,120240.KQ,KOSDAQ,DAEJUNG C&M
137950,137950.KQ,KOSDAQ,JC Chemical
163560,163560.KS,KOSPI,DRB Industrial
214260,214260.KQ,KOSDAQ,RAPHAS
004840,004840.KS,KOSPI,DRB Holding
352090,352090.KQ,KOSDAQ,Stormtec
027580,027580.KQ,KOSDAQ,SBK
171120,171120.KQ,KOSDAQ,LION CHEMTECH
096775,096775.KS,KOSPI,SK Innovation(1P)
036640,036640.KQ,KOSDAQ,HRS
406820,406820.KQ,KOSDAQ,BEAUTYSKIN
007590,007590.KS,KOSPI,DongbangAgro
004910,004910.KS,KOSPI,ChokwangPaint
036670,036670.KQ,KOSDAQ,KCI
049550,049550.KQ,KOSDAQ,InkTec
265740,265740.KQ,KOSDAQ,NFC
136410,136410.KQ,KOSDAQ,ASSEMS
003780,003780.KS,KOSPI,Chinyang Industry
080530,080530.KQ,KOSDAQ,KODI
002795,002795.KS,KOSPI,AmoreG(1P)
083660,083660.KQ,KOSDAQ,CSA Cosmic
037370,037370.KQ,KOSDAQ,EG
014440,014440.KS,KOSPI,YoungboChem
002760,002760.KS,KOSPI,Bolak
318410,318410.KQ,KOSDAQ,BBC
002360,002360.KS,KOSPI,SH ENERCHEM
318000,318000.KQ,KOSDAQ,KBG
060230,060230.KQ,KOSDAQ,Sonid
001550,001550.KS,KOSPI,Chobi
285800,285800.KQ,KOSDAQ,JINYOUNG
097870,097870.KQ,KOSDAQ,HYOSUNG ONB
294140,294140.KQ,KOSDAQ,LEMON
120115,120115.KS,KOSPI,KOLON IND(1P)
024890,024890.KS,KOSPI,DaewonChem
010640,010640.KS,KOSPI,ChinYangPoly
227610,227610.KQ,KOSDAQ,OUTIN
009835,009835.KS,KOSPI,HANWHA SOLUTIONS(1P)
003080,003080.KS,KOSPI,SungboChem
022220,022220.KQ,KOSDAQ,TKG AIKANG
290380,290380.KQ,KOSDAQ,Dae Yu
051630,051630.KS,KOSPI,ChinYangChem
28513K,28513K.KS,KOSPI,SKCHEM(1P)
101240,101240.KQ,KOSDAQ,CQV
217480,217480.KQ,KOSDAQ,SDBIO
221980,221980.KQ,KOSDAQ,KDCHEM
114630,114630.KQ,KOSDAQ,POLARIS UNO
058450,058450.KQ,KOSDAQ,Enterpartners
045060,045060.KQ,KOSDAQ,OKONG Corp.
008370,008370.KQ,KOSDAQ,Wonpoong
332290,332290.KQ,KOSDAQ,NOUSBO
252500,252500.KQ,KOSDAQ,SEWHA P&C
007770,007770.KQ,KOSDAQ,HANILCHEMIC
340440,340440.KQ,KOSDAQ,SERIM B&G
082660,082660.KQ,KOSDAQ,Cosnine
079000,079000.KQ,KOSDAQ,WATOS COREA
000215,000215.KS,KOSPI,DL(1P)
263020,263020.KQ,KOSDAQ,DK&D
021650,021650.KQ,KOSDAQ,CUBIC KOREA
317240,317240.KQ,KOSDAQ,TS Trillion
044480,044480.KQ,KOSDAQ,BLADE Ent
286750,286750.KQ,KOSDAQ,NANOBRICK
025620,025620.KS,KOSPI,Jayjun Cosmetic
024070,024070.KS,KOSPI,WISCOM
352940,352940.KQ,KOSDAQ,ENBIO
033050,033050.KQ,KOSDAQ,JMI
187790,187790.KQ,KOSDAQ,NANO
035200,035200.KQ,KOSDAQ,PLUMB FAST
110020,110020.KQ,KOSDAQ,JJBIO
050760,050760.KQ,KOSDAQ,S polytech
048830,048830.KQ,KOSDAQ,NPK
344860,344860.KQ,KOSDAQ,INNOGENE
123330,123330.KQ,KOSDAQ,Genic
225430,225430.KQ,KOSDAQ,KMP
091970,091970.KQ,KOSDAQ,Nano Chem Tech
108675,108675.KS,KOSPI,LX HAUSYS(1P)
060260,060260.KQ,KOSDAQ,NUVOTEC
250930,250930.KQ,KOSDAQ,YeSUN Tech
196700,196700.KQ,KOSDAQ,WAPS
002355,002355.KS,KOSPI,NEXENTIRE(1PB)
115570,115570.KQ,KOSDAQ,STARFLEX
004835,004835.KS,KOSPI,Duksung(1P)
065420,065420.KQ,KOSDAQ,SI
004255,004255.KS,KOSPI,NPC(1P)
000885,000885.KS,KOSPI,Hanwha(1P)
005725,005725.KS,KOSPI,NEXEN(1P)
090355,090355.KS,KOSPI,NOROOPAINT(1P)
014825,014825.KS,KOSPI,DWS(1P)
017670,017670.KS,KOSPI,SKTelecom
030200,030200.KS,KOSPI,KT
032640,032640.KS,KOSPI,LG Uplus
126560,126560.KS,KOSPI,Hyundai Futurenet
006490,006490.KS,KOSPI,INSCOB
051360,051360.KQ,KOSDAQ,TOVIS
096040,096040.KQ,KOSDAQ,E-TRON
424960,424960.KQ,KOSDAQ,Smart Radar System
045660,045660.KQ,KOSDAQ,ATEC
052330,052330.KQ,KOSDAQ,KORTEK
417790,417790.KQ,KOSDAQ,TRUEN
347890,347890.KQ,KOSDAQ,M2I
038460,038460.KQ,KOSDAQ,BioSmart
448710,448710.KQ,KOSDAQ,COTS Technology
093190,093190.KQ,KOSDAQ,Bixolon
263800,263800.KQ,KOSDAQ,DATASOLUTION
224110,224110.KQ,KOSDAQ,ATEC MOBILITY
094940,094940.KQ,KOSDAQ,PULOON TECH
032790,032790.KQ,KOSDAQ,MGEN
129890,129890.KQ,KOSDAQ,ABKO
096690,096690.KQ,KOSDAQ,Aroot
332370,332370.KQ,KOSDAQ,IDP
067010,067010.KQ,KOSDAQ,ECS
148250,148250.KQ,KOSDAQ,RN2 Technologies
131180,131180.KQ,KOSDAQ,DILLI
068940,068940.KQ,KOSDAQ,Cellfie Global
121890,121890.KQ,KOSDAQ,SDSYSTEM
043360,043360.KQ,KOSDAQ,DGI
161570,161570.KQ,KOSDAQ,THE MIDONG
039980,039980.KQ,KOSDAQ,Polaris AI
038540,038540.KQ,KOSDAQ,Sangsangin
033230,033230.KQ,KOSDAQ,INSUNG
040350,040350.KQ,KOSDAQ,CreoSG
351330,351330.KQ,KOSDAQ,ISAAC Engineering
042500,042500.KQ,KOSDAQ,RingNet
038680,038680.KQ,KOSDAQ,SNET
124500,124500.KQ,KOSDAQ,ITCEN
064480,064480.KQ,KOSDAQ,BRIDGETEC
049480,049480.KQ,KOSDAQ,Openbase
115500,115500.KQ,KOSDAQ,KCS
094840,094840.KQ,KOSDAQ,Suprema HQ
032680,032680.KQ,KOSDAQ,SOFTCEN
052460,052460.KQ,KOSDAQ,iCRAFT
010280,010280.KQ,KOSDAQ,SICC
089150,089150.KQ,KOSDAQ,KCT
328380,328380.KQ,KOSDAQ,Saltware
028080,028080.KQ,KOSDAQ,HUMAX Holdings
020180,020180.KQ,KOSDAQ,DIC
075130,075130.KQ,KOSDAQ,PLANTYNET
045510,045510.KQ,KOSDAQ,ZWNS
067730,067730.KQ,KOSDAQ,LOGISYS
424760,424760.KQ,KOSDAQ,Bellock
139050,139050.KQ,KOSDAQ,BFLS
070590,070590.KQ,KOSDAQ,Hansol Intic
032685,032685.KQ,KOSDAQ,SOFTCEN(1P)
000720,000720.KS,KOSPI,HyundaiEng&Const
051600,051600.KS,KOSPI,KEPCO KPS
047040,047040.KS,KOSPI,DWEC
375500,375500.KS,KOSPI,DL E&C
006360,006360.KS,KOSPI,GS E&C
294870,294870.KS,KOSPI,HDC-OP
475150,475150.KS,KOSPI,SK eternix
060370,060370.KQ,KOSDAQ,LS Marine Solution
126720,126720.KS,KOSPI,Soosan Industries
001470,001470.KS,KOSPI,SambuConst
035890,035890.KQ,KOSDAQ,SEOHEE CONSTRUCTION
389260,389260.KQ,KOSDAQ,DMENG
097230,097230.KS,KOSPI,HJSC
013120,013120.KQ,KOSDAQ,Dongwon
039570,039570.KS,KOSPI,HDCLABS
003070,003070.KS,KOSPI,KolonGlobal
028100,028100.KS,KOSPI,Dong Ah E&C
094820,094820.KQ,KOSDAQ,ILJIN POWER
025950,025950.KQ,KOSDAQ,DongshinE&C
282720,282720.KQ,KOSDAQ,KYGP
036190,036190.KQ,KOSDAQ,GEUMHWA PSC
002990,002990.KS,KOSPI,KUMHOE&C
011560,011560.KQ,KOSDAQ,SEBO MEC
002780,002780.KS,KOSPI,ChinhungInt
026150,026150.KQ,KOSDAQ,TSConstruct
013580,013580.KS,KOSPI,KyeryongConst
066620,066620.KQ,KOSDAQ,KUKBO DESIGN
005960,005960.KS,KOSPI,Dongbu Corporation
041590,041590.KQ,KOSDAQ,Flask
206400,206400.KQ,KOSDAQ,BENO TNR
002460,002460.KS,KOSPI,HwasungInd
021320,021320.KQ,KOSDAQ,KCC
034300,034300.KS,KOSPI,ShinsegaeE&C
009410,009410.KS,KOSPI,TAEYOUNG E&C
014790,014790.KS,KOSPI,HL D&I
010960,010960.KS,KOSPI,SDC
011370,011370.KQ,KOSDAQ,Seohan
004960,004960.KS,KOSPI,HanshinConst
013360,013360.KS,KOSPI,IlsungConst
056730,056730.KQ,KOSDAQ,CNT85
013700,013700.KS,KOSPI,CAMUS E&S
001260,001260.KS,KOSPI,NamkwangEng&Const
226360,226360.KQ,KOSDAQ,KH Construction
007680,007680.KQ,KOSDAQ,DAEWON
091590,091590.KQ,KOSDAQ,"Nam Hwa Const Co., Ltd."
023960,023960.KS,KOSPI,SC ENGINEERING
016250,016250.KQ,KOSDAQ,SGC E&C
000725,000725.KS,KOSPI,HyundaiEng&Con(1P)
046940,046940.KQ,KOSDAQ,Woowon Development
37550L,37550L.KS,KOSPI,DL E&C(2PC)
001840,001840.KQ,KOSDAQ,Eehwa
076080,076080.KQ,KOSDAQ,WELCRON HANTEC
042940,042940.KQ,KOSDAQ,Sangji Construction
002290,002290.KQ,KOSDAQ,SAMIL ENTERPRISE
37550K,37550K.KS,KOSPI,DL E&C(1P)
002410,002410.KS,KOSPI,BUMYANG CONST
017000,017000.KQ,KOSDAQ,ShinwonConst
010400,010400.KS,KOSPI,WOOJINI&S
054940,054940.KQ,KOSDAQ,EXA E&C
003075,003075.KS,KOSPI,KolonGlobal(1P)
044180,044180.KQ,KOSDAQ,KD
005965,005965.KS,KOSPI,Dongbu(1P)
009415,009415.KS,KOSPI,TAEYOUNG E&C(1P)
002787,002787.KS,KOSPI,CHINHUNG INT (2PB)
002785,002785.KS,KOSPI,CHINHUNG INT(1PB)
002995,002995.KS,KOSPI,KUMHOE&C(1P)
263750,263750.KQ,KOSDAQ,PearlAbyss
293490,293490.KQ,KOSDAQ,Kakao Games
112040,112040.KQ,KOSDAQ,Wemade
225570,225570.KQ,KOSDAQ,NEXON Games
194480,194480.KQ,KOSDAQ,Devsisters
069080,069080.KQ,KOSDAQ,Webzen
078340,078340.KQ,KOSDAQ,C2S
095660,095660.KQ,KOSDAQ,NEOWIZ
101730,101730.KQ,KOSDAQ,Wemade Max
263720,263720.KQ,KOSDAQ,D&C MEDIA
432430,432430.KQ,KOSDAQ,YLAB
064260,064260.KQ,KOSDAQ,DANAL
207760,207760.KQ,KOSDAQ,Mr. Blue
131370,131370.KQ,KOSDAQ,RSUPPORT
060570,060570.KQ,KOSDAQ,Dreamus
067280,067280.KQ,KOSDAQ,Multicampus
043610,043610.KQ,KOSDAQ,Genie Music
063080,063080.KQ,KOSDAQ,Com2uS Holdings
042420,042420.KQ,KOSDAQ,NEOWIZ HOLDINDS
067000,067000.KQ,KOSDAQ,JoyCity
418470,418470.KQ,KOSDAQ,Millie
300080,300080.KQ,KOSDAQ,FLITTO
033790,033790.KQ,KOSDAQ,Skymoons Technology
058630,058630.KQ,KOSDAQ,Mgame
123420,123420.KQ,KOSDAQ,Wemade Play
215100,215100.KQ,KOSDAQ,RoboRobo
052790,052790.KQ,KOSDAQ,ACTOZ SOFT
389140,389140.KQ,KOSDAQ,4by4
204610,204610.KQ,KOSDAQ,T3
205500,205500.KQ,KOSDAQ,Action Square
057680,057680.KQ,KOSDAQ,T Scientific
201490,201490.KQ,KOSDAQ,Me2on
134580,134580.KQ,KOSDAQ,Topco Media
033130,033130.KQ,KOSDAQ,DChosun
052220,052220.KQ,KOSDAQ,iMBC
348030,348030.KQ,KOSDAQ,MOBIRIX
274400,274400.KQ,KOSDAQ,INNOSIM
104200,104200.KQ,KOSDAQ,NHN BUGS
276040,276040.KQ,KOSDAQ,SKONEC
417180,417180.KQ,KOSDAQ,Finger Story
023770,023770.KQ,KOSDAQ,PLAYWITH
068100,068100.KQ,KOSDAQ,KWR
047080,047080.KQ,KOSDAQ,HBS
331520,331520.KQ,KOSDAQ,VALOFE
127710,127710.KQ,KOSDAQ,ASIA BUSINESS DAILY
060240,060240.KQ,KOSDAQ,LONGTU KOREA
299910,299910.KQ,KOSDAQ,Anic
030350,030350.KQ,KOSDAQ,Dragonfly
028260,028260.KS,KOSPI,SAMSUNG C&T
047050,047050.KS,KOSPI,POSCO INTERNATIONAL
257720,257720.KQ,KOSDAQ,Silicon2
081660,081660.KS,KOSPI,Fila Holdings
007070,007070.KS,KOSPI,GS Retail
008770,008770.KS,KOSPI,HtlShilla
026960,026960.KS,KOSPI,DONGSUH
282330,282330.KS,KOSPI,BGF Retail
023530,023530.KS,KOSPI,LOTTE SHOPPING
139480,139480.KS,KOSPI,emart
018670,018670.KS,KOSPI,SKGas
004170,004170.KS,KOSPI,Shinsegae
111770,111770.KS,KOSPI,Youngone Corp
009240,009240.KS,KOSPI,Hanssem
069960,069960.KS,KOSPI,HYUNDAIDEPTST
001120,001120.KS,KOSPI,LX INT
001740,001740.KS,KOSPI,SKNetworks
001530,001530.KS,KOSPI,DI DONGIL
031430,031430.KS,KOSPI,SHINSEGAE INTERNATIONAL
381970,381970.KS,KOSPI,K Car
057050,057050.KS,KOSPI,HYUNDAIHOMESHOP
115450,115450.KQ,KOSDAQ,HLB Therapeutics
017940,017940.KS,KOSPI,E1
060280,060280.KQ,KOSDAQ,CUREXO
453340,453340.KS,KOSPI,HYUNDAIGREENFOOD
032190,032190.KQ,KOSDAQ,DAOU DATA
900140,900140.KS,KOSPI,LVMC Holdings
036620,036620.KQ,KOSDAQ,GAMSUNG Corp.
093230,093230.KS,KOSPI,EID
064800,064800.KQ,KOSDAQ,Gemvaxlink
000680,000680.KS,KOSPI,LSNetworks
031330,031330.KQ,KOSDAQ,SAMT
950170,950170.KQ,KOSDAQ,JTC
122900,122900.KS,KOSPI,iMarketKorea
339770,339770.KS,KOSPI,KYOCHON F&B
011760,011760.KS,KOSPI,HYUNDAI CORP
051500,051500.KQ,KOSDAQ,CJ FW
005390,005390.KS,KOSPI,ShinsungTongsang
036030,036030.KQ,KOSDAQ,kt alpha
452260,452260.KS,KOSPI,HANWHA GALLERIA
002810,002810.KS,KOSPI,SamyungTrdg
011810,011810.KS,KOSPI,STX
254490,254490.KQ,KOSDAQ,MIRAI
037710,037710.KS,KOSPI,Gwangju Shinsegae
035080,035080.KQ,KOSDAQ,Gradiant
071840,071840.KS,KOSPI,LOTTE Himart
003580,003580.KS,KOSPI,HLB GLOBAL
024060,024060.KQ,KOSDAQ,Heungu
057880,057880.KQ,KOSDAQ,Green pine tree
000050,000050.KS,KOSPI,Kyungbang
362320,362320.KQ,KOSDAQ,CHUNGDAMGLOBAL
001250,001250.KS,KOSPI,GS Global
013990,013990.KQ,KOSDAQ,AGABANG&CO
450140,450140.KS,KOSPI,K.M.G
093520,093520.KQ,KOSDAQ,MAKUS
128820,128820.KS,KOSPI,DAESUNGIND
123690,123690.KS,KOSPI,HANKOOKCOSMETICS
02826K,02826K.KS,KOSPI,SAMSUNG C&T(1PB)
121440,121440.KQ,KOSDAQ,GOLFZON NEWDIN HOLDINGS
033290,033290.KQ,KOSDAQ,COWELL F/S
067990,067990.KQ,KOSDAQ,DEUTSCH MOTORS INC.
078940,078940.KQ,KOSDAQ,QUANTAPIA
065660,065660.KQ,KOSDAQ,ANTEROGEN
063170,063170.KQ,KOSDAQ,Seoul Auction
060560,060560.KQ,KOSDAQ,Home Center Holdings
004080,004080.KS,KOSPI,Shinhung
142210,142210.KQ,KOSDAQ,Unitrontech
439580,439580.KQ,KOSDAQ,BLUEMTEC
012700,012700.KQ,KOSDAQ,LEADCORP
077500,077500.KS,KOSPI,Uniquest
000440,000440.KQ,KOSDAQ,JA Enervis
159580,159580.KQ,KOSDAQ,0TO7
009810,009810.KS,KOSPI,Playgram
140070,140070.KQ,KOSDAQ,SurplusGLOBAL
065650,065650.KQ,KOSDAQ,Hyper Corporation
002700,002700.KS,KOSPI,SHINIL ELECTRONICS
048910,048910.KQ,KOSDAQ,DAEWON MEDIA
178780,178780.KQ,KOSDAQ,ILWOUL GML
064090,064090.KQ,KOSDAQ,WESTRISE
006880,006880.KS,KOSPI,SINGSONGHOLDINGS
032940,032940.KQ,KOSDAQ,WonIk
102370,102370.KQ,KOSDAQ,K Auction
227840,227840.KS,KOSPI,HYUNDAI CORPORATION HOLDINGS
019010,019010.KQ,KOSDAQ,VenueG
